pnu,jiga
1117013000102450002,3820000
1117013000102500002,1950000
1117013000102510002,6520000
1117013000102540002,6520000
1117013000102550002,6020000
1117013000102580002,7724000
1117013000102590002,999900
1117013000102600002,2930000
1117013000102610002,457800
1117013000102620002,5385000
1117013000102800002,5460000
1117013000107280002,6609000
1117013100100660002,4504000
1117013100106360002,4408000
1117013100106830002,7479000
1117013100106840002,7123000
1117013100106850002,5460000
1117013100106860002,5900000
1117013100106970002,6593000
1117013100106990002,7642000
1117013100107040002,2240000
1117013100107050002,2892000
1117013100107060002,2052000
1117013100107070002,3195000
1117013100107100002,3626000
1117013100107130002,4661000
1117013100107140002,3630000
1117013100107170002,3630000
1117013100107180002,3630000
1117013100107200002,7642000
1117013100107220002,1881000
1117013100107230002,5703000
1117013100107260002,7925000
1117013100107270002,5363000
1117013100107280002,18310000
1117013100107290002,5161000
1117013100107320002,5795000
1117013100107330002,9898000
1117013100107360002,9185000
1117013100107370002,22070000
1117013100107390002,26080000
1117013100107400002,14220000
1117013100107420002,9250000
1114013300100850003,3861000
1114013300100860003,8928000
1114013300100870003,8840000
1114013600100110003,3661000
1114013600100180003,5520000
1114013600100220003,4524000
1114013600100230003,1455000
1114013600100250003,4738000
1114013600100260003,6250000
1114013800100140003,5610000
1114013800100170003,8134000
1114013800100180003,4990000
1114013800100190003,8864000
1114013800100200003,8813000
1114013800100210003,9123000
1114013800100220003,4112000
1114013800100240003,9123000
1114013800100270003,4770000
1114013800100280003,8820000
1114013800100290003,2910000
1114013800100330003,2812000
1114013800100480003,7080000
1114013800100580003,5814000
1114013800100590003,7080000
1114013800100610003,5358000
1114013800100640003,6239000
1114013800100650003,6220000
1114013800100680003,2788000
1114013800100710003,7816000
1114013800100720003,8541000
1114013800100740003,7451000
1114013800100770003,3036000
1114013800100860003,6530000
1114013800100900003,5676000
1114013800100940003,2583000
1114013800100960003,7830000
1114013800101020003,6530000
1114013800101030003,3621000
1114013800101040003,1782000
1114013800101050003,6386000
1114013800101060003,5028000
1114013800101090003,5243000
1114013800101100003,3656000
1114013800101160003,5400000
1114013800101190003,7262000
1114013800101210003,5420000
1114013800101220003,5882000
1114013800101230003,3886000
1114013800101280003,3812000
1114013800101300003,4372000
1114013800101310003,3550000
1114013800101330003,2381000
1114013900100020003,6095000
1114013900100100003,8671000
1114013900100160003,5540000
1114013900100170003,9231000
1114013900100180003,8641000
1114013900100190003,3952000
1114013900100210003,8671000
1114013900100230003,2808000
1114013900100260003,4200000
1114013900100270003,3010000
1114013900100280003,4200000
1114013900100290003,8431000
1114013900100330003,7571000
1114013900100370003,2583000
1114013900100390003,5100000
1114013900100400003,7830000
1114013900100410003,3450000
1114013900100430003,7438000
1114013900100440003,7990000
1114013900100470003,6940000
1114013900100480003,4057000
1114013900100580003,2349000
1114013900100600003,2257000
1114013900100610003,6430000
1114013900100620003,3096000
1114013900100630003,1656000
1114013900100680003,1656000
1114013900100690003,1656000
1114013900100710003,5115000
1114014200100010003,3812000
1114014300100440003,3710000
1114014300100490003,3820000
